frequency,type,mode,label
462.562500,simplex,NFM,FRS 1
462.587500,simplex,NFM,FRS 2
462.612500,simplex,NFM,FRS 3
462.637500,simplex,NFM,FRS 4
462.662500,simplex,NFM,FRS 5
462.687500,simplex,NFM,FRS 6
462.712500,simplex,NFM,FRS 7
467.562500,simplex,NFM,FRS 8
467.587500,simplex,NFM,FRS 9
467.612500,simplex,NFM,FRS 10
467.637500,simplex,NFM,FRS 11
467.662500,simplex,NFM,FRS 12
467.687500,simplex,NFM,FRS 13
467.712500,simplex,NFM,FRS 14
462.550000,simplex,NFM,FRS 15
462.575000,simplex,NFM,FRS 16
462.600000,simplex,NFM,FRS 17
462.625000,simplex,NFM,FRS 18
462.650000,simplex,NFM,FRS 19
462.675000,simplex,NFM,FRS 20
462.700000,simplex,NFM,FRS 21
462.725000,simplex,NFM,FRS 22
